DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	ProductionType	ActualGenerationOutput	ActualConsumption	UpdateTime
2022-01-01 02:00:00.000	PT60M	10YCS-SERBIATSOV	CTY	RS CTY	RS	Hydro Water Reservoir	0.0		01/01/2022 05:02
2022-01-01 02:00:00.000	PT60M	10YCS-SERBIATSOV	CTY	RS CTY	RS	Hydro Pumped Storage	0.0		01/01/2022 05:02
2022-01-01 03:30:00.000	PT15M	10YHU-MAVIR----U	CTY	HU CTY	HU	Hydro Run-of-river and poundage	10.75		01/01/2022 05:03
2022-01-01 03:30:00.000	PT15M	10YHU-MAVIR----U	CTY	HU CTY	HU	Other renewable	6.7		01/01/2022 05:03
2022-01-01 03:30:00.000	PT15M	10YHU-MAVIR----U	CTY	HU CTY	HU	Fossil Brown coal/Lignite	286.17		01/01/2022 05:03
2022-01-01 03:30:00.000	PT15M	10YHU-MAVIR----U	CTY	HU CTY	HU	Other	67.88		01/01/2022 05:03
2022-01-01 03:30:00.000	PT15M	10YHU-MAVIR----U	CTY	HU CTY	HU	Biomass	126.58		01/01/2022 05:03
2022-01-01 03:30:00.000	PT15M	10YHU-MAVIR----U	CTY	HU CTY	HU	Fossil Hard coal	0.0		01/01/2022 05:03
2022-01-01 03:30:00.000	PT15M	10YHU-MAVIR----U	CTY	HU CTY	HU	Hydro Water Reservoir	8.68		01/01/2022 05:03
2022-01-01 03:30:00.000	PT15M	10YHU-MAVIR----U	CTY	HU CTY	HU	Fossil Oil	0.0		01/01/2022 05:03
2022-01-01 03:30:00.000	PT15M	10YHU-MAVIR----U	CTY	HU CTY	HU	Nuclear	1948.73		01/01/2022 05:03
2022-01-01 03:30:00.000	PT15M	10YHU-MAVIR----U	CTY	HU CTY	HU	Geothermal	0.36		01/01/2022 05:03
2022-01-01 03:30:00.000	PT15M	10YHU-MAVIR----U	CTY	HU CTY	HU	Fossil Gas	549.34		01/01/2022 05:03
2022-01-01 03:30:00.000	PT15M	10YHU-MAVIR----U	CTY	HU CTY	HU	Waste	13.67		01/01/2022 05:03
2022-01-01 02:00:00.000	PT60M	10YBE----------2	CTY	BE CTY	BE	Solar	0.0		01/01/2022 05:03
2022-01-01 02:00:00.000	PT60M	10YBE----------2	CTY	BE CTY	BE	Biomass	222.8		04/01/2022 16:22
2022-01-01 02:00:00.000	PT60M	10YBE----------2	CTY	BE CTY	BE	Nuclear	5967.84		04/01/2022 16:22
2022-01-01 02:00:00.000	PT60M	10YBE----------2	CTY	BE CTY	BE	Waste	257.46		04/01/2022 16:22
2022-01-01 02:00:00.000	PT60M	10YBE----------2	CTY	BE CTY	BE	Hydro Run-of-river and poundage	6.37		03/02/2022 16:28
2022-01-01 02:00:00.000	PT60M	10YBE----------2	CTY	BE CTY	BE	Hydro Pumped Storage		966.25	04/01/2022 16:22
2022-01-01 02:00:00.000	PT60M	10YBE----------2	CTY	BE CTY	BE	Fossil Oil	0.0		04/02/2022 08:49
2022-01-01 02:00:00.000	PT60M	10YBE----------2	CTY	BE CTY	BE	Fossil Gas	1001.8		04/01/2022 16:22
2022-01-01 03:00:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Fossil Gas	2657.02		01/01/2022 05:03
2022-01-01 03:00:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Biomass	4268.61		01/01/2022 05:03
2022-01-01 03:00:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Nuclear	3341.72		01/01/2022 05:03
2022-01-01 03:00:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Fossil Oil	279.14		01/01/2022 05:03
2022-01-01 03:00:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Wind Onshore	20889.22	0.0	02/01/2022 00:03
2022-01-01 03:00:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Solar	0.0	0.0	01/01/2022 05:03
2022-01-01 03:00:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Other	363.31		01/01/2022 05:03
2022-01-01 03:00:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Hydro Run-of-river and poundage	1421.17		01/01/2022 05:04
2022-01-01 03:00:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Geothermal	23.46		01/01/2022 05:04
2022-01-01 03:00:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Waste	832.73		01/01/2022 05:04
2022-01-01 03:00:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Other renewable	126.18		01/01/2022 05:04
2022-01-01 03:00:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Hydro Pumped Storage	153.31	3410.66	01/01/2022 05:04
2022-01-01 03:00:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Fossil Hard coal	2017.02		01/01/2022 05:05
2022-01-01 03:00:00.000	PT60M	10YFI-1--------U	CTY	FI CTY	FI	Wind Onshore	1806.8		01/01/2022 05:05
2022-01-01 03:00:00.000	PT60M	10YLV-1001A00074	CTY	LV CTY	LV	Hydro Run-of-river and poundage	0.0		01/01/2022 05:05
2022-01-01 03:00:00.000	PT60M	10YLV-1001A00074	CTY	LV CTY	LV	Fossil Gas	0.0		01/01/2022 05:06
2022-01-01 03:00:00.000	PT60M	10YLV-1001A00074	CTY	LV CTY	LV	Wind Onshore	13.0		01/01/2022 05:06
2022-01-01 03:00:00.000	PT60M	10YLV-1001A00074	CTY	LV CTY	LV	Biomass	63.0		01/01/2022 05:06
2022-01-01 03:00:00.000	PT60M	10YLV-1001A00074	CTY	LV CTY	LV	Other	53.0		01/01/2022 05:06
2022-01-01 03:00:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Fossil Brown coal/Lignite	3522.61		01/01/2022 05:06
